GemeentecodeGM,Regio’s,Personen,Personen met persoonlijk inkomen,Aandeel personen,Gemiddeld gestandaardiseerd inkomen,Mediaan gestandaardiseerd inkomen,Gemiddeld persoonlijk inkomen,Mediaan persoonlijk inkomen
GM0765,Pekela,12,"9,9",100,"29,3","27,2","27,5",23
GM1926,Pijnacker-Nootdorp,"54,8","42,6",100,"41,6","38,2","42,5","34,3"
GM0439,Purmerend,"90,2","74,6",100,"35,3","32,8","34,9","28,7"
GM0273,Putten,24,"19,2",100,"38,5","33,6","34,7","27,2"
GM0177,Raalte,"37,3",31,100,"35,9","33,3",33,28
GM0703,Reimerswaal,"22,6","17,6",100,"34,9","31,2","32,6","26,4"
GM0274,Renkum,"30,3","25,2",100,"40,3","34,7","39,5","30,6"
GM0339,Renswoude,"5,5","4,3",100,"39,8","34,6",38,"30,6"
GM1667,Reusel-De Mierden,13,"10,7",100,"37,6","34,4","34,6","28,3"
GM0275,Rheden,"42,4","35,4",100,"34,6","31,2",34,"26,8"
GM0340,Rhenen,"19,8","15,8",100,"38,1","33,2","36,1","28,4"
GM0597,Ridderkerk,"46,1","37,6",100,"34,5","31,5","33,9","27,6"
GM1742,Rijssen-Holten,"37,7","29,5",100,"37,1","32,3","32,4","26,4"
GM0603,Rijswijk (ZH.),"53,9","42,8",100,"35,3","32,1","38,2","30,8"
GM1669,Roerdalen,"20,2","17,2",100,"34,7","32,1",33,27
GM0957,Roermond,"57,6","47,9",100,"32,8","29,8",33,"26,4"
GM0736,De Ronde Venen,"44,3","36,3",100,44,37,"42,6","31,1"
GM1674,Roosendaal,"75,6","62,3",100,"33,9","31,4","33,5","26,9"
GM0599,Rotterdam,"633,5","508,5",100,32,"27,7","33,9","25,7"
GM0277,Rozendaal,"1,7","1,4",100,.,"45,8",.,42
GM0840,Rucphen,"22,8","19,1",100,35,"32,5","32,6","25,5"
GM0441,Schagen,"45,8","38,7",100,"37,3","33,8","34,2","27,7"
GM0279,Scherpenzeel,10,"7,9",100,"36,5","33,9","34,8","29,4"
GM0606,Schiedam,"77,6","62,3",100,"32,1","29,7","33,3","27,3"
GM0088,Schiermonnikoog,"0,9","0,8",100,.,.,.,.
GM1676,Schouwen-Duiveland,"33,6","28,4",100,"37,1","32,8","34,7","26,6"
GM0965,Simpelveld,"10,3","8,7",100,"33,4","31,4","32,5","26,2"
GM0845,Sint-Michielsgestel,29,"23,6",100,"40,7","36,5","38,6","30,4"
